id|fullname|Nation_team|Batting|Bowling
2234|David Jonathan Willey|England Lions,England Under-19s,Northamptonshire,Northamptonshire 2nd XI|Left-hand bat|Left-arm fast-medium
2235|Mark Andrew Wood|England,England XI,Durham,Durham 2nd XI,Durham Academy,England Lions,Northumberland,Northumberland Under-13s,Northumberland Under-15s,Northumberland U|Right-hand bat|Right-arm fast
2236|Ben Matthew Wheeler|New Zealand,Central Districts,Central Districts Under-19s,New Zealand Under-19s|Right-hand bat|Left-arm medium-fast
2237|Liton Kumar Das|Bangladesh,Bangladesh Under-15s,Bangladesh Under-19s,Bangladesh Under-23s,Dhaka Gladiators,East Zone (Bangladesh),North Zone (Bangladesh),Rangpur Divi|Right-hand bat|none
2238|Mustafizur Rahman|Bangladesh,Abahani Limited,Bangladesh Under-19s,Khulna Division,South Zone (Bangladesh)|Left-hand bat|Left-arm fast-medium
2239|Andrew William Mathieson|New Zealand,Central Districts,New Zealand Under-19s,Northern Districts|Right-hand bat|Right-arm medium
2240|Kagiso Rabada|South Africa,Gauteng,Gauteng Under-19s,Lions,South Africa A,South Africa Colts XI,South Africa Under-19s,St Stithians College|Left-hand bat|Right-arm fast
2241|Tisse Appuhamilage Milinda Siriwardana|Sri Lanka,Basnahira South,Chilaw Marians Cricket Club,Chittagong Division,Dhaka Division,Kalutara Vidyalaya,Kandurata Maroons,Ruhuna,Sebastianites Cri|Left-hand bat|Slow left-arm orthodox
2242|Mohammad Babar Azam|Pakistan,Pakistan A,Pakistan Under-15s,Pakistan Under-19s,Pakistan Under-23s,Rawalpindi Rams,Sui Southern Gas Corporation,Zarai Taraqiati Bank Limited|Right-hand bat|Right-arm offbreak
2243|Manish Krishnanand Pandey|India A,Karnataka,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Royal Challengers Bangalore,South Zone|Right-hand bat|Right-arm medium
2244|Sachith Shanaka Pathirana|Colombo Cricket Club,Combined Provinces,Kandurata,Kandy Youth Cricket Club,Ragama Cricket Club,Southern Express,Sri Lanka Under-19s|Left-hand bat|Slow left-arm orthodox
2245|Syed Imad Wasim|Pakistan,Islamabad,Islamabad Leopards,Pakistan Under-19s|Left-hand bat|Slow left-arm orthodox
2246|Inderbir Singh Sodhi|New Zealand,Auckland Under-17s,Auckland Under-19s,New Zealand A,New Zealand Under-19s,Northern Districts|Right-hand bat|Legbreak
2247|David Wiese|South Africa,Easterns,Guyana Amazon Warriors,Guyana Amazon Warriors,Royal Challengers Bangalore,South Africa A,South Africa Emerging Players,Titans|Right-hand bat|Right-arm medium-fast
2248|George Herrick Worker|New Zealand,Scotland,Canterbury,Central Districts,New Zealand A,New Zealand Under-19s|Left-hand bat|Slow left-arm orthodox
2249|Joseph Anthony Burns|Australia,Australia A,Brisbane Heat,Leicestershire,Middlesex,Queensland,Queensland Under-19s,Queensland Under-23s,Sussex 2nd XI|Right-hand bat|Right-arm medium
2250|Ashton Charles Agar|Australia,Australia A,Australia Under-19s,Perth Scorchers,Western Australia,Western Australia Under-23s|Left-hand bat|Slow left-arm orthodox
2251|Marcus Peter Stoinis|Australia,Australia A,Delhi Daredevils,Kent 2nd XI,Perth Scorchers,Scarborough,Victoria,Victoria Under-23s,Victorian XI,Western Australia,Western Aust|Right-hand bat|Right-arm medium
2252|Reece James William Topley|England,England Lions,England Under-19s,Essex,Essex 2nd XI|Right-hand bat|Left-arm medium-fast
2282|Rameez Raja|Pakistan|Right-hand bat|Right-arm offbreak
2284|Nkrumah Eljego Bonner|West Indies|Right-hand bat|Legbreak
2286|Derwin O'Neil Christian|West Indies|Right-hand bat|none
2287|Miles Cameron Bascombe|West Indies|Right-hand bat|none
2290|Garey Earl Mathurin|West Indies|Left-hand bat|Slow left-arm orthodox
2297|Roneel Magan Hira|New Zealand|Left-hand bat|Slow left-arm orthodox
2299|Richard Ernst Levi|South Africa|Right-hand bat|Right-arm medium
2305|Awais Zia|Pakistan|Left-hand bat|Right-arm offbreak
2309|Maninderjit Singh Aulakh|Canada|Right-hand bat|Right-arm fast-medium
2317|Shakeel Ansar|Pakistan|Right-hand bat|none
2319|Samuel Badree|West Indies|Right-hand bat|Legbreak
2333|Eldeniya Medagedara Dilshan Yasika Munaweera|Sri Lanka|Right-hand bat|Right-arm offbreak
2375|Ben James Rohrer|Australia|Left-hand bat|none
2420|David Wiese|South Africa|Right-hand bat|Right-arm medium-fast
2429|Nicolas James Maddinson|Australia|Left-hand bat|Slow left-arm orthodox
2441|Usman Khan Shinwari|Pakistan|Right-hand bat|Left-arm medium-fast
2451|Christopher Austin Lynn|Australia|Right-hand bat|Slow left-arm orthodox
2453|James Matthew Muirhead|Australia|Right-hand bat|Legbreak
2484|Beuran Eric Hendricks|South Africa|Left-hand bat|Left-arm fast-medium
2493|Najeeb Tarakai|Afghanistan|Right-hand bat|Right-arm offbreak
2496|Subash Prasad Khakurel|Nepal|Right-hand bat|none
2498|Sagar Pun|Nepal|Right-hand bat|Right-arm offbreak
2502|Gyanendra Malla|Nepal|Right-hand bat|none
2505|Paras Khadka|Nepal|Right-hand bat|Right-arm medium-fast
2508|Binod Bhandari|Nepal|Right-hand bat|Right-arm bowler
2511|Sharad Vesawkar|Nepal|Right-hand bat|Right-arm offbreak
2513|Basant Regmi|Nepal|Left-hand bat|Slow left-arm orthodox
2516|Naresh Bahadur Budayair|Nepal|Right-hand bat|Right-arm bowler
2520|Shakti Prasad Gauchan|Nepal|Right-hand bat|Slow left-arm orthodox
2522|Sompal Kami|Nepal|Right-hand bat|Right-arm fast-medium
2528|Mark Sinclair Chapman|Hong Kong|Left-hand bat|Slow left-arm orthodox
2532|Faizan Asif|United Arab Emirates|Left-hand bat|none
2537|Logan Verjus van Beek|Netherlands|Right-hand bat|Right-arm medium-fast
2776|Jason Jonathan Roy|Pakistan|Right-hand bat|none
2785|Hafiz Saad Nasim|Pakistan|Right-hand bat|Legbreak
2789|Cameron John Boyce|Australia|Right-hand bat|Legbreak
2793|Ben Robert Dunk|Australia|Left-hand bat|none
2797|Nathan Jon Reardon|Australia|Left-hand bat|Right-arm medium
2805|Reeza Raphael Hendricks|South Africa|Right-hand bat|Right-arm medium-fast
2809|Kagiso Rabada|South Africa|Left-hand bat|Right-arm fast
2870|Rajesh Pulami Magar|Nepal|Right-hand bat|Legbreak googly
2925|Mukhtar Ahmed|Pakistan,Khyber-Pakhtunkhwa Fighters,Pakistan A,Sialkot Stallions,State Bank of Pakistan|Right-hand bat|Legbreak googly
2926|Mohammad Rizwan|Pakistan,Pakistan A,Pakistan Under-19s,Pakistan Under-23s,Peshawar,Peshawar Panthers,Sui Northern Gas Pipelines Limited|Right-hand bat|none
2927|Mustafizur Rahman|Bangladesh,Abahani Limited,Bangladesh Under-19s,Khulna Division,South Zone (Bangladesh)|Left-hand bat|Left-arm fast-medium
2928|Nauman Anwar|Pakistan,Sialkot Stallions|Right-hand bat|Right-arm medium-fast
2929|Syed Imad Wasim|Pakistan,Islamabad,Islamabad Leopards,Pakistan Under-19s|Left-hand bat|Slow left-arm orthodox
2931|Tryone Edward Kane|Ireland,Ireland Under-13s,Ireland Under-15s,Ireland Under-17s,Ireland Under-19s|Right-hand bat|Right-arm medium-fast
2932|Henry George Munsey|Scotland,Highlanders,Northamptonshire,Northamptonshire 2nd XI,Nottinghamshire 2nd XI,Scotland Development XI|Left-hand bat|Right-arm medium-fast
2933|Mark Robert James Watt|Scotland,Scotland XI,Highlanders,Scotland A,Scotland Under-19s|Left-hand bat|Slow left-arm orthodox
2935|Samuel William Billings|England,England Under-19s,Kent,Kent 2nd XI,Loughborough Marylebone Cricket Club University (England)|Right-hand bat|none
2936|David Jonathan Willey|England Lions,England Under-19s,Northamptonshire,Northamptonshire 2nd XI|Left-hand bat|Left-arm fast-medium
2938|Mitchell Josef Santner|New Zealand,New Zealand Masters,Northern Districts,Northern Districts A,Northern Districts Under-19s|Left-hand bat|Slow left-arm orthodox
2939|Pradeep Singh Airee|Nepal,Nepal Under-19s,Nepal Under-21s|Right-hand bat|Right-arm medium
2940|Karan KC|Nepal|Right-hand bat|Right-arm fast
2942|Tobias Pepijn Visee|Netherlands,Netherlands Under-15s,Netherlands Under-17s,Netherlands Under-19s|Right-hand bat|none
2943|Maxwell Patrick O'Dowd|Netherlands|Right-hand bat|Right-arm offbreak
2945|Rahil Izhar Ahmed|Netherlands,Netherlands Under-13s,Netherlands Under-15s,Netherlands Under-17s,Netherlands Under-19s,North Holland Hurricanes|Right-hand bat|none
2949|Rony Talukdar|Bangladesh A,Bangladesh Cricket Board Academy,Bangladesh Under-19s,Bangladesh Under-23s,Barisal Division,Dhaka Division|Right-hand bat|Right-arm slow-medium
2950|Abdul Shakoor Bangash|United Arab Emirates|Right-hand bat|none
2951|Umair Ali Khan|United Arab Emirates|Right-hand bat|none
2952|Con de Wet de Lange|Scotland,Boland,Cape Cobras,Eagles,Free State,Knights,Northamptonshire,Western Province Boland|Right-hand bat|Slow left-arm orthodox
2959|Kila Pala|Papua New Guinea Under-19s|Left-hand bat|Right-arm medium
2962|Manish Krishnanand Pandey|India A,Karnataka,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Royal Challengers Bangalore,South Zone|Right-hand bat|Right-arm medium
2963|Sandeep Sharma|India,India A,India Under-19s,India Under-23s,Kings XI Punjab,Punjab,Punjab Under-19s|Right-hand bat|Right-arm medium
2965|Sanju Viswanath Samson|India,India Under-19s,Kerala,Kerala Cricket Association XI,Kolkata Knight Riders,Rajasthan Royals|Right-hand bat|none
2978|Dhananjaya Maduranga de Silva|Sri Lanka,Badureliya Sports Club,Kandurata Maroons,Ragama Cricket Club,Sri Lanka Under-19s|Right-hand bat|Right-arm offbreak
