bat_id,Attack_swot,Defend_swot,Leave_swot,Gentle Shot_swot,Back Foot_swot,Front Foot_swot,Wide Off Stump_swot,Outside Off Stump_swot,Stumps_swot,Down Leg Stump_swot,Wide Down Leg Stump_swot,Yorker_swot,Full Toss_swot,Full Length_swot,Good Length_swot,Short of Length_swot,Over Pitched_swot,Fine Leg Region_swot,Square Leg Region_swot,Wid-Wicket Region_swot,Long On Region_swot,Long Off Region_swot,Cover Region_swot,Point Region_swot,Third-man Region_swot
1550,-0.773881,-0.166883,-0.455782,-0.545168,-0.506992,0.13395,0,-0.0545108,-0.671879,-1,-0.3,-0.0948899,-0.787866,-0.62617,-0.208809,-0.249819,-0.153526,-0.82529,-0.51771,-0.285379,-0.211272,-0.10027,-0.542969,-0.578137,-0.309014
1551,0.808023,-0.0363126,0.265301,-0.118379,-0.0706132,-0.278192,0.204167,0.19579,0.28443,0.0181494,-0.3,0.313677,0.671076,0.665518,0.11708,0.00364057,0.0546209,-0.12638,0.659805,-0.109867,0.221428,-0.285086,-0.121568,0.256993,0.125441
1581,-0.0284416,0.277418,0.992321,0.384112,-0.0338464,-0.121315,-0.3,-0.460386,-0.008684,0.0121858,-0.3,-0.462457,-0.166356,-0.41651,0.258448,0.700636,0.0295662,0.00783188,-0.134812,-0.225713,-0.119864,0.252304,0.540941,-0.333437,0.651923
1584,0.122424,-0.113957,-0.71774,-0.65725,-0.234095,-0.3,-0.3,0.0698788,-0.390554,-0.0689014,-0.3,-0.112088,-0.0505315,-0.421433,0.433325,0.170977,-0.153526,-0.049174,-0.317742,-0.514544,-0.612774,0.0262433,-0.131415,-0.0653537,0.427323
1586,-0.209,-0.0863946,-0.00383949,-0.673974,0.1152,-0.565941,0,-0.0127989,-0.543396,-0.915961,0,-0.800794,-0.0380581,-0.504924,0.186326,-0.0114846,-0.699474,0.00783188,-0.0775643,-0.643497,-0.0573148,-0.472838,-0.27697,-0.0749134,0.228659
1589,0.340674,0.588545,0.263159,0.309461,0.735515,0.00550225,-0.470833,0.254792,0.726036,0.487532,-0.18043,0.167713,-0.305246,0.241435,0.707987,0.298322,-0.445625,0.728556,0.0514355,0.320621,0.126018,0.700673,0.0534538,0.0316278,-0.0601361
1593,0.633586,0.685255,-0.17826,0.319983,0.32633,0.529028,0.188889,-0.181769,0.258032,-0.662554,-0.3,-0.120629,-0.00495554,-0.0802196,0.173473,-0.1293,0.00182493,-0.478052,0.659296,0.61254,0.556666,0.714674,0.580628,0.742942,-0.137145
1647,0.704145,0.584004,-0.201691,0.182519,0.058684,-0.0605457,-0.3,-0.229933,0.0908168,-0.766514,-0.3,0.0993809,-0.34459,0.151765,0.299894,-0.235149,-0.0656418,0.225221,-0.226334,0.147673,0.238483,-0.172085,-0.25477,-0.134534,-0.059139
1648,-0.0359849,-0.133634,-0.732916,-0.433922,-0.0847113,-0.167928,0,-0.0883959,-0.0313693,-0.3,-0.3,0.138462,-0.112899,-0.0457324,-0.287111,-0.415848,-0.153526,-0.578044,-0.0307358,0.112837,-0.717561,0.0524593,-0.306015,-0.0454378,0.724976
1650,0.337395,0.113727,0.86201,0.483615,-0.1616,0.0375166,0,-0.163027,0.639899,-0.128427,-0.3,-0.22028,-0.0995343,0.236198,0.198086,0.644575,-0.153526,-0.0178208,-0.176673,-0.26616,0.433013,0.628472,-0.144476,-0.153272,-0.4568
1665,0.796023,-0.551067,0.19539,0.0594828,0.00755528,-0.061753,0,0.43095,-0.368529,-0.19729,-0.3,0.201099,-0.0594411,-0.249764,-0.572451,0.317586,-0.00705227,-0.486891,-0.534262,-0.246053,-8.86362E-05,0.61812,0.161215,-0.609315,-0.446812
1666,-0.164221,-0.808428,-0.3,0.0914314,-0.0814739,-0.173431,0,-0.727201,-0.239812,0.00813146,-0.3,-0.0807692,0.0118356,-0.527156,-0.209443,-0.127382,-0.00705227,-0.00682678,-0.0395875,-0.0916294,0.00335652,-0.092961,-0.336179,-0.0942065,-0.465043
1671,-0.824129,0.67318,0.844241,0.156921,-0.0286277,-0.773295,0.3,-0.623766,-0.387167,-0.3,-0.3,0.284615,-0.112899,0.308041,-0.122598,-0.707496,0.115009,0.0264884,-0.125229,-0.0795037,-0.0774379,0.763897,-0.0945501,-0.196644,-0.184494
1681,-0.206628,0.774503,-0.482817,0.814457,0.356112,-0.227881,-0.208333,-0.154167,-0.133617,0.302005,-0.3,0.58036,-0.474,-0.0518963,-0.0142152,-0.0580502,0.0595268,-0.0303956,-0.106428,0.148386,0.0543699,0.433952,-0.151462,-0.364939,-0.222567
1716,-0.599115,-0.280381,0.634092,0.752288,-0.0397609,0.0164218,0.3,0.254789,0.641646,-0.030385,-0.3,-0.0807692,-0.0115521,0.713319,-0.058558,0.503823,-0.120976,0.0326,-0.0896972,0.253417,0.129724,0.265951,0.151436,0.566007,0.285264
1720,-0.422378,0.0844898,0.376552,-0.77475,0.299733,0.228287,0,-0.0461079,-0.33072,0.149358,-0.3,-1,-0.3,0.236532,-0.0933115,-0.487172,0.285895,-0.0263717,-0.0977858,0.166584,-0.167157,-0.280925,-0.0419357,-0.588148,-0.375884
1752,-0.50407,-0.867957,-0.109249,-0.43805,-0.207733,-0.215621,-0.3,0.347168,-0.46843,0.00813146,0,-0.105128,-0.163926,-0.454174,0.159578,-0.599439,0,0.247257,-0.350945,-0.364153,-0.078458,-0.553467,-0.00205387,-0.0213213,-0.56611
1754,-0.497521,-0.278253,0.852318,0.666173,-0.409926,-0.253618,-0.116667,0.703416,-0.220845,0.122006,0.3,0.398806,-0.227502,-0.345206,-0.260959,0.242776,-0.0314646,-0.00682678,0.60736,-0.0377049,0.00100304,-0.273346,-0.0307939,0.219559,-0.0364953
1765,0.287861,-0.13223,-0.568073,-0.712925,-0.150067,0.0375166,0,-0.46123,-0.148037,-0.158097,-0.3,-0.212308,-0.766017,-0.473902,-0.462632,0.782997,-0.0436707,0.00783188,-0.322014,0.335002,0.0867318,0.306165,-0.113332,0.77352,-0.273974
